u,i,ts,w
142,31,0,7
143,98,0,10
143,104,0,1
143,120,0,3
8,108,0,5
102,108,0,9
102,62,0,24
102,62,0,24
102,108,0,9
47,80,0,3
94,80,0,1
144,47,0,4
94,62,0,13
144,94,0,3
94,108,0,3
144,94,0,3
144,47,0,4
144,94,0,3
144,47,0,4
144,47,0,4
94,108,0,3
95,47,0,3
94,108,0,3
95,94,0,5
95,94,0,5
95,47,0,3
95,94,0,5
104,143,0,2
104,62,0,3
5,145,0,1
43,59,0,2
43,104,0,2
62,94,0,14
43,31,0,2
113,104,0,2
33,108,0,2
35,104,0,7
35,108,0,7
35,146,0,2
43,31,0,2
18,119,0,2
8,135,0,1
8,147,0,1
8,148,0,1
8,149,0,1
8,150,0,1
8,151,0,1
8,152,0,1
8,57,0,6
8,57,0,6
8,134,0,5
8,21,0,2
8,7,0,56
8,153,0,1
8,120,0,1
0,134,0,2
2,154,0,4
35,108,0,7
2,154,0,4
29,131,0,2
2,57,0,1
67,55,0,2
35,155,0,1
130,29,0,4
100,50,0,1
100,33,0,4
8,7,0,56
35,72,0,11
95,94,0,5
8,75,0,3
8,7,0,56
8,156,0,1
18,157,0,1
8,57,0,6
8,31,0,25
43,128,0,9
104,134,0,3
104,128,0,1
43,128,0,9
43,128,0,9
43,128,0,9
50,100,0,1
0,158,0,2
43,73,0,12
43,128,0,9
159,71,0,3
128,7,0,1
35,146,0,2
35,108,0,7
35,104,0,7
35,128,0,5
8,7,0,56
33,100,0,3
160,161,0,8
162,71,0,1
31,163,0,2
57,7,0,1
31,57,0,4
40,75,0,3
40,119,0,2
40,131,0,1
40,164,0,1
40,165,0,2
40,156,0,1
40,166,0,1
40,167,0,17
40,168,0,1
40,133,0,2
55,67,0,2
40,55,0,3
55,153,0,2
55,169,0,1
55,170,0,1
55,171,0,1
102,100,0,3
50,156,0,1
31,129,0,2
7,57,0,1
7,163,0,2
102,62,0,24
102,172,0,1
66,153,0,1
31,25,0,1
95,162,0,1
8,57,0,6
40,55,0,3
8,19,0,1
8,164,0,1
8,60,0,2
102,108,0,9
31,154,0,3
31,108,0,2
31,173,0,1
174,49,0,1
102,84,0,1
123,108,0,3
163,7,0,2
102,62,0,24
37,127,0,13
102,62,0,24
102,62,0,24
18,108,0,8
102,62,0,24
102,62,0,24
160,163,0,2
160,163,0,2
37,108,0,1
40,62,0,26
102,62,0,24
175,62,0,10
40,62,0,26
175,62,0,10
40,62,0,26
160,62,0,6
102,62,0,24
40,62,0,26
175,62,0,10
40,62,0,26
160,62,0,6
102,62,0,24
31,163,0,2
175,62,0,10
40,62,0,26
175,62,0,10
40,62,0,26
160,62,0,6
102,62,0,24
40,176,0,31
40,176,0,31
163,177,0,1
163,176,0,1
31,174,0,6
31,176,0,9
175,62,0,10
163,178,0,1
40,62,0,26
31,178,0,1
40,62,0,26
40,62,0,26
40,62,0,26
40,62,0,26
160,62,0,6
95,163,0,2
40,62,0,26
40,176,0,31
40,176,0,31
40,62,0,26
40,176,0,31
40,62,0,26
160,62,0,6
31,176,0,9
40,176,0,31
31,176,0,9
40,176,0,31
40,62,0,26
40,179,0,6
31,176,0,9
40,62,0,26
160,62,0,6
40,176,0,31
40,179,0,6
176,31,0,6
40,62,0,26
40,176,0,31
179,176,0,2
179,176,0,2
179,180,0,1
40,176,0,31
179,181,0,2
40,179,0,6
40,89,0,5
40,62,0,26
31,176,0,9
40,179,0,6
40,62,0,26
40,176,0,31
176,179,0,2
176,179,0,2
176,31,0,6
40,179,0,6
40,176,0,31
40,179,0,6
31,176,0,9
40,62,0,26
182,183,0,1
40,62,0,26
176,31,0,6
31,176,0,9
40,176,0,31
176,31,0,6
174,31,0,6
31,176,0,9
31,174,0,6
40,167,0,17
174,31,0,6
40,167,0,17
40,176,0,31
176,31,0,6
62,173,0,8
173,62,0,7
62,173,0,8
173,62,0,7
40,167,0,17
40,176,0,31
31,174,0,6
62,173,0,8
173,62,0,7
40,167,0,17
8,31,0,25
40,176,0,31
62,173,0,8
31,176,0,9
174,31,0,6
31,174,0,6
40,167,0,17
40,176,0,31
40,167,0,17
40,167,0,17
62,154,0,4
173,62,0,7
40,176,0,31
176,31,0,6
40,167,0,17
174,31,0,6
62,173,0,8
173,62,0,7
62,173,0,8
40,167,0,17
40,176,0,31
40,176,0,31
31,174,0,6
40,176,0,31
174,31,0,6
174,31,0,6
31,174,0,6
40,176,0,31
40,167,0,17
173,62,0,7
62,173,0,8
40,167,0,17
40,167,0,17
40,176,0,31
40,167,0,17
40,176,0,31
173,62,0,7
62,173,0,8
40,167,0,17
40,176,0,31
40,176,0,31
40,176,0,31
40,176,0,31
8,31,0,25
40,176,0,31
40,184,0,5
40,167,0,17
184,146,0,1
184,31,0,1
40,184,0,5
40,176,0,31
31,184,0,1
185,184,0,1
139,184,0,4
154,31,0,1
31,154,0,3
184,185,0,1
154,62,0,2
40,176,0,31
102,176,0,3
186,185,0,5
184,96,0,1
102,96,0,2
186,185,0,5
40,184,0,5
40,184,0,5
40,185,0,2
40,184,0,5
40,185,0,2
184,62,0,1
40,167,0,17
186,185,0,5
62,154,0,4
62,184,0,4
102,57,0,5
102,62,0,24
186,185,0,5
102,187,0,1
188,174,0,2
188,174,0,2
139,184,0,4
186,185,0,5
184,108,0,1
139,184,0,4
188,7,0,3
101,96,0,5
139,184,0,4
40,85,0,1
40,187,0,1
100,99,0,4
100,189,0,18
190,174,0,7
100,189,0,18
100,189,0,18
100,189,0,18
100,189,0,18
102,191,0,1
100,189,0,18
100,189,0,18
100,189,0,18
100,189,0,18
100,189,0,18
100,189,0,18
100,189,0,18
100,189,0,18
192,148,0,5
100,99,0,4
192,189,0,2
190,77,0,1
100,189,0,18
100,189,0,18
189,108,0,1
100,189,0,18
192,189,0,2
108,123,0,1
102,108,0,9
102,189,0,1
102,108,0,9
102,108,0,9
40,191,0,1
193,148,0,1
193,194,0,1
175,19,0,1
175,60,0,2
175,148,0,1
175,119,0,1
175,131,0,1
175,85,0,1
175,96,0,1
175,71,0,2
175,57,0,1
175,7,0,1
175,195,0,1
175,196,0,1
175,197,0,2
175,198,0,1
175,199,0,1
175,189,0,1
175,191,0,1
175,200,0,2
175,187,0,1
175,201,0,1
175,184,0,1
175,202,0,1
175,179,0,1
175,180,0,1
175,176,0,1
175,183,0,2
175,174,0,1
175,165,0,2
203,204,0,1
203,103,0,1
203,183,0,4
188,143,0,15
2,184,0,1
2,31,0,19
198,57,0,2
62,184,0,4
62,198,0,6
62,183,0,1
198,100,0,1
193,198,0,4
193,205,0,2
193,206,0,1
203,122,0,1
120,190,0,1
174,190,0,6
203,128,0,1
62,198,0,6
100,183,0,5
100,207,0,3
62,45,0,1
62,198,0,6
100,87,0,1
190,120,0,1
190,174,0,7
102,176,0,3
198,19,0,1
183,100,0,5
102,131,0,1
198,208,0,2
100,183,0,5
35,104,0,7
102,209,0,1
35,208,0,1
183,100,0,5
208,198,0,1
198,208,0,2
198,209,0,1
100,183,0,5
183,100,0,5
175,100,0,15
67,100,0,2
31,197,0,1
210,100,0,1
211,208,0,3
210,212,0,1
210,92,0,6
210,84,0,1
188,198,0,1
213,214,0,3
102,108,0,9
102,214,0,8
102,81,0,1
43,213,0,6
102,214,0,8
62,198,0,6
62,198,0,6
102,214,0,8
102,214,0,8
102,167,0,9
213,108,0,2
214,66,0,1
102,214,0,8
213,214,0,3
40,214,0,1
40,215,0,1
102,126,0,1
214,61,0,1
213,108,0,2
175,216,0,1
175,215,0,1
175,217,0,1
102,108,0,9
218,123,0,1
18,108,0,8
62,126,0,13
87,100,0,1
102,167,0,9
102,55,0,2
62,126,0,13
102,55,0,2
213,55,0,2
213,55,0,2
62,126,0,13
50,214,0,4
18,174,0,1
18,108,0,8
43,213,0,6
214,50,0,3
43,213,0,6
18,214,0,8
18,214,0,8
102,174,0,9
43,213,0,6
18,214,0,8
102,174,0,9
213,174,0,3
50,214,0,4
18,214,0,8
213,214,0,3
214,50,0,3
18,214,0,8
95,94,0,5
95,31,0,3
18,214,0,8
95,163,0,2
102,214,0,8
102,214,0,8
18,214,0,8
143,184,0,2
102,167,0,9
219,213,0,5
219,31,0,3
18,214,0,8
143,31,0,2
102,174,0,9
102,174,0,9
174,213,0,3
102,174,0,9
102,174,0,9
102,174,0,9
175,220,0,1
102,97,0,1
2,31,0,19
221,119,0,2
40,221,0,2
40,221,0,2
40,222,0,1
213,174,0,3
40,96,0,3
40,133,0,2
50,214,0,4
35,221,0,4
35,220,0,5
211,65,0,2
95,223,0,1
174,213,0,3
213,174,0,3
224,222,0,1
35,220,0,5
35,213,0,2
175,222,0,1
175,225,0,1
220,160,0,7
35,220,0,5
43,225,0,1
220,160,0,7
35,220,0,5
220,160,0,7
55,213,0,1
220,160,0,7
220,160,0,7
220,160,0,7
160,220,0,2
35,220,0,5
35,213,0,2
220,160,0,7
203,220,0,4
226,25,0,1
210,227,0,4
213,100,0,3
228,229,0,1
219,213,0,5
95,230,0,1
95,231,0,1
102,220,0,1
102,19,0,1
102,85,0,2
219,213,0,5
219,213,0,5
102,65,0,4
211,65,0,2
123,108,0,3
102,184,0,3
211,5,0,18
102,184,0,3
102,7,0,1
62,201,0,1
62,184,0,4
102,92,0,1
62,184,0,4
8,232,0,2
102,232,0,1
8,96,0,10
8,189,0,1
165,233,0,1
68,33,0,2
68,33,0,2
234,190,0,3
68,184,0,1
40,165,0,2
40,31,0,6
2,31,0,19
2,131,0,5
0,29,0,4
40,31,0,6
40,172,0,1
102,165,0,3
62,126,0,13
62,198,0,6
102,165,0,3
62,91,0,1
96,227,0,2
96,227,0,2
102,57,0,5
190,135,0,1
31,57,0,4
130,29,0,4
190,235,0,3
31,236,0,1
8,234,0,2
100,33,0,4
236,31,0,1
96,190,0,5
47,80,0,3
47,80,0,3
174,213,0,3
175,232,0,2
8,100,0,1
47,51,0,10
47,51,0,10
47,174,0,20
51,47,0,9
47,51,0,10
8,176,0,21
96,190,0,5
8,174,0,9
51,47,0,9
174,47,0,20
95,47,0,3
40,31,0,6
8,174,0,9
40,173,0,1
8,174,0,9
47,174,0,20
11,174,0,35
47,51,0,10
174,47,0,20
47,174,0,20
11,174,0,35
11,167,0,3
11,174,0,35
51,47,0,9
174,47,0,20
47,51,0,10
11,80,0,1
11,174,0,35
47,174,0,20
174,47,0,20
11,174,0,35
47,174,0,20
11,174,0,35
51,47,0,9
47,51,0,10
11,174,0,35
174,47,0,20
51,47,0,9
11,174,0,35
47,51,0,10
11,174,0,35
47,174,0,20
11,174,0,35
174,47,0,20
51,47,0,9
11,174,0,35
11,174,0,35
11,174,0,35
219,213,0,5
11,174,0,35
87,219,0,1
47,174,0,20
47,51,0,10
11,174,0,35
174,47,0,20
51,47,0,9
8,174,0,9
47,174,0,20
11,174,0,35
11,174,0,35
174,47,0,20
11,174,0,35
8,174,0,9
47,174,0,20
11,174,0,35
47,51,0,10
8,174,0,9
174,47,0,20
8,208,0,2
11,174,0,35
47,174,0,20
102,65,0,4
102,51,0,5
11,174,0,35
102,65,0,4
174,47,0,20
51,47,0,9
102,65,0,4
11,174,0,35
11,174,0,35
47,51,0,10
47,174,0,20
174,47,0,20
47,174,0,20
47,174,0,20
8,174,0,9
8,208,0,2
174,47,0,20
174,47,0,20
219,47,0,15
8,174,0,9
47,174,0,20
143,184,0,2
174,47,0,20
219,47,0,15
47,174,0,20
143,221,0,1
219,47,0,15
174,47,0,20
219,47,0,15
219,47,0,15
47,174,0,20
219,47,0,15
174,47,0,20
47,174,0,20
219,47,0,15
174,47,0,20
143,194,0,1
47,174,0,20
190,236,0,2
219,47,0,15
174,47,0,20
219,47,0,15
47,174,0,20
219,94,0,17
94,167,0,4
219,47,0,15
175,197,0,2
219,94,0,17
190,174,0,7
219,94,0,17
175,200,0,2
174,47,0,20
174,190,0,6
190,174,0,7
47,174,0,20
174,190,0,6
174,47,0,20
190,174,0,7
143,87,0,3
174,190,0,6
219,47,0,15
190,174,0,7
174,190,0,6
143,237,0,1
190,174,0,7
174,190,0,6
219,94,0,17
238,174,0,2
143,239,0,1
238,174,0,2
238,235,0,2
219,94,0,17
219,47,0,15
219,94,0,17
11,89,0,1
219,94,0,17
143,22,0,1
219,94,0,17
2,131,0,5
219,94,0,17
219,94,0,17
219,94,0,17
102,51,0,5
143,31,0,2
219,47,0,15
143,47,0,14
35,221,0,4
219,94,0,17
87,143,0,2
219,94,0,17
219,94,0,17
219,94,0,17
143,47,0,14
219,47,0,15
143,47,0,14
219,94,0,17
219,94,0,17
219,47,0,15
8,143,0,4
143,240,0,1
102,143,0,3
8,215,0,1
193,241,0,2
193,198,0,4
193,208,0,4
193,181,0,2
31,143,0,1
31,242,0,1
203,240,0,1
62,126,0,13
226,143,0,1
193,208,0,4
167,94,0,3
62,126,0,13
43,213,0,6
40,31,0,6
8,243,0,1
244,190,0,2
227,96,0,1
210,227,0,4
210,245,0,1
18,51,0,7
232,87,0,1
33,241,0,2
18,232,0,3
126,62,0,3
142,31,0,7
142,94,0,1
8,234,0,2
8,176,0,21
62,126,0,13
31,87,0,3
210,232,0,1
87,31,0,2
31,87,0,3
246,247,0,1
247,246,0,1
175,247,0,5
175,247,0,5
210,231,0,1
87,31,0,2
175,247,0,5
175,62,0,10
31,87,0,3
248,62,0,5
40,249,0,3
40,247,0,1
94,167,0,4
40,250,0,1
33,241,0,2
175,71,0,2
43,87,0,5
102,176,0,3
102,85,0,2
11,167,0,3
50,85,0,1
211,251,0,4
175,62,0,10
40,96,0,3
167,94,0,3
248,62,0,5
211,33,0,10
211,251,0,4
175,62,0,10
211,251,0,4
175,62,0,10
211,33,0,10
248,62,0,5
211,33,0,10
102,62,0,24
143,246,0,1
203,50,0,24
102,62,0,24
100,207,0,3
211,33,0,10
211,251,0,4
52,252,0,1
8,250,0,1
163,7,0,2
7,163,0,2
211,33,0,10
43,87,0,5
43,47,0,2
43,87,0,5
43,47,0,2
253,7,0,6
7,253,0,3
43,87,0,5
253,7,0,6
94,167,0,4
253,7,0,6
7,253,0,3
253,7,0,6
7,253,0,3
253,7,0,6
0,254,0,3
102,255,0,2
142,31,0,7
203,256,0,1
51,47,0,9
257,75,0,2
167,94,0,3
258,259,0,1
260,255,0,1
18,51,0,7
203,80,0,1
18,51,0,7
258,255,0,4
50,259,0,1
259,50,0,10
203,261,0,1
18,51,0,7
102,259,0,2
262,253,0,3
262,253,0,3
203,50,0,24
259,50,0,10
203,50,0,24
40,255,0,1
203,50,0,24
203,50,0,24
35,253,0,6
203,50,0,24
35,221,0,4
203,50,0,24
203,50,0,24
203,50,0,24
203,50,0,24
61,214,0,1
203,50,0,24
263,157,0,1
5,121,0,2
203,50,0,24
35,253,0,6
35,5,0,5
40,264,0,1
203,50,0,24
203,50,0,24
35,5,0,5
35,253,0,6
259,50,0,10
203,50,0,24
35,221,0,4
95,5,0,6
203,50,0,24
95,5,0,6
255,258,0,1
203,47,0,13
35,253,0,6
35,5,0,5
203,50,0,24
95,5,0,6
35,5,0,5
95,5,0,6
203,50,0,24
95,5,0,6
203,50,0,24
35,5,0,5
35,253,0,6
35,253,0,6
203,47,0,13
95,5,0,6
210,250,0,1
203,265,0,2
203,50,0,24
266,259,0,1
266,255,0,1
259,50,0,10
259,266,0,1
11,259,0,1
262,190,0,1
11,100,0,13
203,47,0,13
203,50,0,24
203,265,0,2
11,174,0,35
203,47,0,13
203,50,0,24
50,266,0,2
259,50,0,10
203,47,0,13
259,50,0,10
267,148,0,1
266,50,0,2
188,7,0,3
62,126,0,13
50,266,0,2
203,47,0,13
203,220,0,4
126,62,0,3
203,47,0,13
211,5,0,18
203,47,0,13
203,47,0,13
266,50,0,2
139,5,0,2
11,174,0,35
102,266,0,2
203,47,0,13
68,253,0,1
211,33,0,10
211,47,0,16
102,266,0,2
175,268,0,1
203,47,0,13
102,165,0,3
18,264,0,1
94,167,0,4
211,253,0,1
211,47,0,16
175,269,0,2
175,266,0,1
211,47,0,16
68,270,0,7
211,47,0,16
68,270,0,7
68,270,0,7
68,270,0,7
271,272,0,2
68,270,0,7
47,255,0,2
68,270,0,7
273,47,0,2
68,270,0,7
273,47,0,2
143,259,0,1
102,264,0,1
211,47,0,16
262,221,0,1
197,255,0,1
102,269,0,2
175,255,0,1
211,47,0,16
262,238,0,2
211,47,0,16
134,104,0,1
262,238,0,2
102,227,0,3
211,47,0,16
102,227,0,3
203,47,0,13
100,270,0,1
100,33,0,4
274,19,0,1
102,227,0,3
275,7,0,1
19,274,0,3
19,274,0,3
100,33,0,4
262,276,0,8
262,276,0,8
139,5,0,2
8,134,0,5
139,277,0,1
8,134,0,5
33,100,0,3
126,259,0,1
8,134,0,5
100,67,0,1
259,126,0,3
102,51,0,5
198,278,0,1
198,259,0,1
259,198,0,2
259,126,0,3
40,100,0,1
62,126,0,13
18,51,0,7
40,279,0,5
270,100,0,1
67,100,0,2
175,100,0,15
259,126,0,3
280,253,0,7
40,279,0,5
40,279,0,5
276,67,0,1
281,33,0,9
175,282,0,4
175,282,0,4
40,279,0,5
175,282,0,4
175,282,0,4
40,279,0,5
175,247,0,5
175,283,0,1
175,165,0,2
219,270,0,1
40,269,0,2
11,100,0,13
219,66,0,2
8,134,0,5
11,100,0,13
66,255,0,2
11,100,0,13
35,284,0,3
11,100,0,13
219,66,0,2
285,220,0,3
35,284,0,3
35,284,0,3
100,31,0,2
188,131,0,1
219,220,0,5
219,220,0,5
220,2,0,2
180,179,0,1
180,176,0,2
180,176,0,2
180,259,0,1
259,286,0,1
235,238,0,1
259,180,0,2
50,287,0,2
214,50,0,3
0,254,0,3
78,165,0,1
78,255,0,1
78,259,0,1
203,67,0,13
288,134,0,1
203,78,0,2
203,275,0,2
203,220,0,4
203,270,0,2
2,220,0,2
57,198,0,1
43,289,0,1
26,220,0,3
290,291,0,1
68,292,0,1
68,103,0,1
8,259,0,3
113,123,0,4
198,57,0,2
62,289,0,2
31,290,0,3
35,235,0,2
35,290,0,1
50,293,0,3
35,235,0,2
104,134,0,3
210,227,0,4
290,31,1,2
210,259,1,2
203,67,1,13
203,275,1,2
203,78,1,2
294,295,1,1
203,47,1,13
210,287,1,3
210,283,1,1
203,287,1,1
203,283,1,1
293,50,1,13
262,276,1,8
5,220,1,2
43,128,1,9
296,190,1,1
69,123,1,1
31,290,1,3
50,293,1,3
52,290,1,1
203,297,1,11
293,50,1,13
8,31,1,25
8,176,1,21
219,220,1,5
288,219,1,1
210,264,1,1
220,2,1,2
220,5,1,1
220,210,1,2
26,220,1,3
276,33,1,1
262,276,1,8
276,298,1,3
276,298,1,3
299,51,1,1
211,66,1,2
276,49,1,1
203,220,1,4
203,180,1,15
210,220,1,2
139,123,1,6
5,220,1,2
183,31,1,1
192,232,1,25
31,183,1,5
31,183,1,5
31,183,1,5
300,62,1,1
31,183,1,5
192,148,1,5
288,7,1,1
8,298,1,9
139,123,1,6
5,87,1,1
301,137,1,2
203,67,1,13
287,50,1,2
287,210,1,2
227,210,1,1
259,50,1,10
259,198,1,2
259,78,1,2
259,210,1,2
259,180,1,2
62,300,1,2
302,293,1,1
203,67,1,13
154,2,1,1
204,303,1,1
154,7,1,1
276,251,1,5
203,67,1,13
211,210,1,6
203,67,1,13
203,67,1,13
203,67,1,13
287,49,1,2
203,67,1,13
100,31,1,2
203,67,1,13
142,66,1,2
211,227,1,2
211,227,1,2
227,120,1,2
66,163,1,1
66,131,1,3
227,60,1,1
227,303,1,1
304,305,1,2
238,235,1,2
113,123,1,4
50,293,1,3
66,171,1,2
50,287,1,2
276,171,1,5
287,50,1,2
208,298,1,2
66,174,1,1
2,220,1,2
2,154,1,4
306,5,1,8
306,5,1,8
306,50,1,1
5,298,1,1
306,5,1,8
306,5,1,8
276,50,1,3
306,5,1,8
276,78,1,1
276,50,1,3
280,307,1,25
306,5,1,8
276,50,1,3
192,301,1,9
306,5,1,8
301,192,1,9
306,66,1,2
280,301,1,8
192,301,1,9
306,5,1,8
59,307,1,11
59,307,1,11
59,307,1,11
59,307,1,11
59,307,1,11
308,174,1,1
309,71,1,1
142,66,1,2
307,59,1,8
211,208,1,3
301,192,1,9
306,66,1,2
188,301,1,2
192,301,1,9
211,33,1,10
276,183,1,6
280,301,1,8
301,192,1,9
188,301,1,2
192,301,1,9
211,33,1,10
276,183,1,6
276,183,1,6
301,192,1,9
276,183,1,6
8,176,1,21
276,183,1,6
8,298,1,9
276,183,1,6
120,227,1,1
192,301,1,9
307,59,1,8
35,210,1,12
301,192,1,9
302,211,1,19
35,154,1,1
192,301,1,9
192,310,1,1
35,33,1,1
193,295,1,22
210,127,1,2
35,210,1,12
295,62,1,4
301,192,1,9
193,311,1,1
280,301,1,8
192,301,1,9
8,7,1,56
127,50,1,5
193,131,1,2
293,50,1,13
301,192,1,9
127,50,1,5
293,50,1,13
298,208,1,1
8,7,1,56
298,5,1,1
247,282,1,3
127,235,1,23
262,307,1,11
280,301,1,8
8,298,1,9
35,298,1,3
18,301,1,5
127,50,1,5
8,7,1,56
127,50,1,5
293,50,1,13
66,31,1,19
102,298,1,6
35,298,1,3
8,298,1,9
312,227,1,1
262,307,1,11
8,7,1,56
313,307,1,2
276,190,1,5
211,50,1,13
305,304,1,4
8,298,1,9
276,190,1,5
8,7,1,56
8,298,1,9
211,50,1,13
262,310,1,4
102,298,1,6
276,190,1,5
102,298,1,6
276,190,1,5
8,298,1,9
192,279,1,1
211,50,1,13
313,253,1,1
280,301,1,8
302,211,1,19
302,297,1,4
262,314,1,3
211,50,1,13
262,315,1,13
259,50,1,10
50,58,1,1
262,314,1,3
259,78,1,2
102,298,1,6
127,210,1,2
313,307,1,2
313,50,1,2
313,33,1,4
102,298,1,6
285,220,1,3
307,314,1,1
8,314,1,1
8,315,1,8
316,314,1,3
317,123,1,4
62,295,1,2
127,50,1,5
8,315,1,8
285,33,1,3
8,298,1,9
313,50,1,2
211,50,1,13
316,314,1,3
62,300,1,2
127,235,1,23
259,50,1,10
8,315,1,8
313,47,1,6
313,33,1,4
317,33,1,6
